# H2O modified n0 1.16
# Taken from new n0 results
# (W. Rocha, 16-04-2022 dd/mm/yyyy)
# First line is N_lam and rho [g/cm^3], other lines are: lambda[um] n k
  3000  0.940
      4.61622     1.20242     0.01753
      4.62279     1.20281     0.01709
      4.62935     1.20252     0.01674
      4.63592     1.20263     0.01645
      4.64249     1.20298     0.01631
      4.64905     1.20299     0.01561
      4.65562     1.20293     0.01550
      4.66218     1.20295     0.01513
      4.66875     1.20280     0.01478
      4.67531     1.20305     0.01426
      4.68188     1.20268     0.01411
      4.68844     1.20274     0.01367
      4.69501     1.20255     0.01329
      4.70158     1.20233     0.01309
      4.70814     1.20236     0.01288
      4.71471     1.20245     0.01262
      4.72127     1.20230     0.01175
      4.72784     1.20184     0.01176
      4.73440     1.20155     0.01147
      4.74097     1.20130     0.01145
      4.74754     1.20141     0.01107
      4.75410     1.20086     0.01083
      4.76067     1.20123     0.01035
      4.76723     1.20076     0.01046
      4.77380     1.20096     0.00975
      4.78036     1.19981     0.00970
      4.78693     1.20027     0.00949
      4.79350     1.19965     0.00929
      4.80006     1.19968     0.00919
      4.80663     1.19911     0.00875
      4.81319     1.19931     0.00870
      4.81976     1.19864     0.00804
      4.82632     1.19852     0.00820
      4.83289     1.19832     0.00782
      4.83946     1.19810     0.00787
      4.84602     1.19794     0.00749
      4.85259     1.19740     0.00737
      4.85915     1.19792     0.00701
      4.86572     1.19670     0.00687
      4.87228     1.19692     0.00666
      4.87885     1.19604     0.00637
      4.88542     1.19591     0.00653
      4.89198     1.19560     0.00636
      4.89855     1.19555     0.00617
      4.90511     1.19565     0.00592
      4.91168     1.19497     0.00570
      4.91824     1.19497     0.00529
      4.92481     1.19404     0.00526
      4.93138     1.19386     0.00501
      4.93794     1.19367     0.00509
      4.94451     1.19304     0.00495
      4.95107     1.19315     0.00476
      4.95764     1.19275     0.00467
      4.96420     1.19210     0.00451
      4.97077     1.19213     0.00458
      4.97734     1.19147     0.00440
      4.98390     1.19145     0.00441
      4.99047     1.19123     0.00428
      4.99703     1.19060     0.00399
      5.00360     1.19073     0.00370
      5.01016     1.19009     0.00359
      5.01673     1.18916     0.00372
      5.02329     1.18945     0.00366
      5.02986     1.18905     0.00380
      5.03643     1.18855     0.00377
      5.04299     1.18868     0.00360
      5.04956     1.18814     0.00355
      5.05612     1.18752     0.00317
      5.06269     1.18770     0.00333
      5.06925     1.18697     0.00322
      5.07582     1.18643     0.00273
      5.08239     1.18645     0.00301
      5.08895     1.18602     0.00292
      5.09552     1.18539     0.00298
      5.10208     1.18546     0.00261
      5.10865     1.18504     0.00310
      5.11521     1.18452     0.00303
      5.12178     1.18450     0.00259
      5.12835     1.18434     0.00249
      5.13491     1.18331     0.00267
      5.14148     1.18304     0.00265
      5.14804     1.18302     0.00257
      5.15461     1.18257     0.00249
      5.16117     1.18151     0.00236
      5.16774     1.18154     0.00266
      5.17431     1.18159     0.00261
      5.18087     1.18080     0.00229
      5.18744     1.18001     0.00258
      5.19400     1.18021     0.00261
      5.20057     1.17976     0.00282
      5.20713     1.17941     0.00240
      5.21370     1.17876     0.00269
      5.22027     1.17895     0.00275
      5.22683     1.17865     0.00252
      5.23340     1.17782     0.00291
      5.23996     1.17742     0.00241
      5.24653     1.17719     0.00276
      5.25309     1.17705     0.00304
      5.25966     1.17669     0.00261
      5.26623     1.17609     0.00286
      5.27279     1.17600     0.00290
      5.27936     1.17617     0.00282
      5.28592     1.17543     0.00257
      5.29249     1.17450     0.00240
      5.29905     1.17401     0.00278
      5.30562     1.17399     0.00288
      5.31219     1.17387     0.00290
      5.31875     1.17304     0.00286
      5.32532     1.17240     0.00299
      5.33188     1.17216     0.00321
      5.33845     1.17212     0.00341
      5.34501     1.17227     0.00308
      5.35158     1.17135     0.00335
      5.35815     1.17077     0.00338
      5.36471     1.17036     0.00336
      5.37128     1.17016     0.00322
      5.37784     1.17003     0.00341
      5.38441     1.16946     0.00377
      5.39097     1.16866     0.00369
      5.39754     1.16819     0.00348
      5.40410     1.16775     0.00368
      5.41067     1.16764     0.00380
      5.41724     1.16766     0.00394
      5.42380     1.16670     0.00398
      5.43037     1.16635     0.00399
      5.43693     1.16576     0.00435
      5.44350     1.16523     0.00434
      5.45006     1.16514     0.00425
      5.45663     1.16478     0.00422
      5.46320     1.16464     0.00450
      5.46976     1.16388     0.00485
      5.47633     1.16277     0.00474
      5.48289     1.16250     0.00473
      5.48946     1.16206     0.00507
      5.49602     1.16146     0.00473
      5.50259     1.16122     0.00515
      5.50916     1.16092     0.00530
      5.51572     1.16084     0.00510
      5.52229     1.15941     0.00572
      5.52885     1.15887     0.00602
      5.53542     1.15799     0.00611
      5.54198     1.15732     0.00594
      5.54855     1.15674     0.00616
      5.55512     1.15667     0.00678
      5.56168     1.15627     0.00688
      5.56825     1.15633     0.00689
      5.57481     1.15557     0.00735
      5.58138     1.15469     0.00740
      5.58794     1.15402     0.00763
      5.59451     1.15288     0.00779
      5.60108     1.15214     0.00811
